flight_date,airline,class,from,dep_time,to,arr_time,duration,price,stops
26-06-2023,SpiceJet,economy,Delhi,18:55,Mumbai,21:05,"02h 10m","6,013",non-stop
26-06-2023,SpiceJet,economy,Delhi,06:20,Mumbai,08:40,"02h 20m","6,013",non-stop
26-06-2023,AirAsia,economy,Delhi,04:25,Mumbai,06:35,"02h 10m","6,016",non-stop
26-06-2023,Vistara,economy,Delhi,10:20,Mumbai,12:35,"02h 15m","6,015",non-stop
26-06-2023,Vistara,economy,Delhi,08:50,Mumbai,11:10,"02h 20m","6,015",non-stop
26-06-2023,Vistara,economy,Delhi,11:40,Mumbai,14:00,"02h 20m","6,015",non-stop
26-06-2023,Vistara,economy,Delhi,09:30,Mumbai,11:35,"02h 05m","6,121",non-stop
26-06-2023,Vistara,economy,Delhi,14:20,Mumbai,16:30,"02h 10m","6,121",non-stop
26-06-2023,"GO FIRST",economy,Delhi,08:00,Mumbai,10:10,"02h 10m","6,014",non-stop
26-06-2023,"GO FIRST",economy,Delhi,14:20,Mumbai,16:35,"02h 15m","6,014",non-stop
26-06-2023,"GO FIRST",economy,Delhi,15:00,Mumbai,17:15,"02h 15m","6,014",non-stop
26-06-2023,"GO FIRST",economy,Delhi,10:30,Mumbai,12:50,"02h 20m","6,014",non-stop
26-06-2023,Indigo,economy,Delhi,07:15,Mumbai,09:25,"02h 10m","6,015",non-stop
26-06-2023,Indigo,economy,Delhi,12:00,Mumbai,14:10,"02h 10m","6,015",non-stop
26-06-2023,Indigo,economy,Delhi,14:20,Mumbai,16:35,"02h 15m","6,015",non-stop
26-06-2023,Indigo,economy,Delhi,08:45,Mumbai,11:05,"02h 20m","6,015",non-stop
26-06-2023,"Air India",economy,Delhi,07:00,Mumbai,09:05,"02h 05m","6,015",non-stop
26-06-2023,"Air India",economy,Delhi,08:00,Mumbai,10:10,"02h 10m","6,015",non-stop
26-06-2023,AirAsia,economy,Delhi,19:00,Mumbai,07:15,"12h 15m","6,008",1-stop
26-06-2023,AirAsia,economy,Delhi,19:00,Mumbai,11:20,"16h 20m","6,008",1-stop
26-06-2023,"GO FIRST",economy,Delhi,06:25,Mumbai,18:10,"11h 45m","6,014",1-stop
26-06-2023,"GO FIRST",economy,Delhi,05:50,Mumbai,20:20,"14h 30m","6,014",1-stop
26-06-2023,"GO FIRST",economy,Delhi,19:25,Mumbai,11:05,"15h 40m","6,014",1-stop
26-06-2023,"Air India",economy,Delhi,17:50,Mumbai,21:35,"03h 45m","6,015","1-stop
												Via IXU
												"
26-06-2023,Indigo,economy,Delhi,09:30,Mumbai,12:00,"02h 30m","6,227",non-stop
26-06-2023,Vistara,economy,Delhi,15:30,Mumbai,17:40,"02h 10m","6,757",non-stop
26-06-2023,Indigo,economy,Delhi,17:15,Mumbai,19:25,"02h 10m","6,651",non-stop
26-06-2023,AirAsia,economy,Delhi,08:20,Mumbai,14:10,"05h 50m","8,958",1-stop
26-06-2023,SpiceJet,economy,Delhi,19:45,Mumbai,22:05,"02h 20m","10,363",non-stop
26-06-2023,Indigo,economy,Delhi,18:40,Mumbai,20:50,"02h 10m","10,575",non-stop
26-06-2023,"GO FIRST",economy,Delhi,06:05,Mumbai,14:05,"08h 00m","10,681",1-stop
26-06-2023,Indigo,economy,Delhi,13:50,Mumbai,19:50,"06h 00m","10,946",1-stop
26-06-2023,Vistara,economy,Delhi,17:35,Mumbai,08:15,"14h 40m","12,272",1-stop
26-06-2023,Vistara,economy,Delhi,16:05,Mumbai,08:15,"16h 10m","12,272",1-stop
26-06-2023,Vistara,economy,Delhi,14:15,Mumbai,08:15,"18h 00m","12,272",1-stop
26-06-2023,Vistara,economy,Delhi,09:05,Mumbai,08:15,"23h 10m","12,272",1-stop
26-06-2023,Vistara,economy,Delhi,08:05,Mumbai,08:15,"24h 10m","12,272",1-stop
26-06-2023,"Air India",economy,Delhi,04:55,Mumbai,13:45,"08h 50m","12,019",1-stop
26-06-2023,SpiceJet,economy,Delhi,19:20,Mumbai,23:50,"04h 30m","12,244",1-stop
26-06-2023,SpiceJet,economy,Delhi,19:20,Mumbai,10:35,"15h 15m","12,244",1-stop
26-06-2023,"Air India",economy,Delhi,21:35,Mumbai,08:35,"11h 00m","12,272",1-stop
26-06-2023,"Air India",economy,Delhi,13:30,Mumbai,08:35,"19h 05m","12,272",1-stop
26-06-2023,"Air India",economy,Delhi,09:45,Mumbai,08:35,"22h 50m","12,272",1-stop
26-06-2023,"Air India",economy,Delhi,06:10,Mumbai,08:35,"26h 25m","12,272",1-stop
26-06-2023,"Air India",economy,Delhi,21:15,Mumbai,15:00,"17h 45m","12,337",1-stop
26-06-2023,SpiceJet,economy,Delhi,17:00,Mumbai,12:35,"19h 35m","12,352",1-stop
26-06-2023,Vistara,economy,Delhi,17:45,Mumbai,20:05,"02h 20m","12,908",non-stop
26-06-2023,Vistara,economy,Delhi,13:20,Mumbai,16:00,"26h 40m","13,014",1-stop
26-06-2023,AirAsia,economy,Delhi,16:05,Mumbai,07:15,"15h 10m","12,664",1-stop
26-06-2023,"Air India",economy,Delhi,19:00,Mumbai,15:50,"20h 50m","13,067",1-stop
26-06-2023,"Air India",economy,Delhi,20:40,Mumbai,08:05,"11h 25m","13,120",1-stop
26-06-2023,"Air India",economy,Delhi,09:50,Mumbai,08:05,"22h 15m","13,120",1-stop
26-06-2023,"Air India",economy,Delhi,06:05,Mumbai,08:05,"26h 00m","13,120",1-stop
26-06-2023,"Air India",economy,Delhi,15:50,Mumbai,13:35,"21h 45m","13,217",1-stop
26-06-2023,Indigo,economy,Delhi,14:05,Mumbai,17:55,"03h 50m","13,412",1-stop
26-06-2023,Indigo,economy,Delhi,18:00,Mumbai,22:25,"04h 25m","13,412",1-stop
26-06-2023,Indigo,economy,Delhi,10:15,Mumbai,17:55,"07h 40m","13,412",1-stop
26-06-2023,Indigo,economy,Delhi,14:05,Mumbai,22:25,"08h 20m","13,412",1-stop
26-06-2023,Indigo,economy,Delhi,21:50,Mumbai,08:15,"10h 25m","13,412",1-stop
26-06-2023,Vistara,economy,Delhi,14:45,Mumbai,14:30,"23h 45m","13,810",1-stop
26-06-2023,"Air India",economy,Delhi,16:55,Mumbai,12:25,"19h 30m","13,544",1-stop
26-06-2023,Vistara,economy,Delhi,06:30,Mumbai,13:00,"06h 30m","14,074",1-stop
26-06-2023,Vistara,economy,Delhi,19:50,Mumbai,08:15,"12h 25m","14,180",1-stop
26-06-2023,Vistara,economy,Delhi,15:55,Mumbai,13:00,"21h 05m","14,180",1-stop
26-06-2023,Vistara,economy,Delhi,17:35,Mumbai,20:15,"26h 40m","14,234",1-stop
26-06-2023,Vistara,economy,Delhi,16:05,Mumbai,20:15,"28h 10m","14,234",1-stop
26-06-2023,Vistara,economy,Delhi,17:35,Mumbai,21:50,"28h 15m","14,234",1-stop
26-06-2023,Indigo,economy,Delhi,12:45,Mumbai,20:45,"08h 00m","13,905",1-stop
26-06-2023,"GO FIRST",economy,Delhi,12:50,Mumbai,22:05,"09h 15m","14,071",1-stop
26-06-2023,Vistara,economy,Delhi,20:35,Mumbai,14:30,"17h 55m","14,552",1-stop
